cascade_tid,weak_label,binarized_human_gt_label,init_data_split,prob_cls_1,action,refined_label
1336773819458056195,1,,tr,0.07019355159999999,query,-1
1336773823782252544,1,,tr,0.628286484,query,-1
1336773845609402368,1,,tr,0.6482332059999999,retain,1
1336773872301924352,1,,tr,0.6483514799999999,retain,1
1336773885354799119,1,,tr,0.6249206700000001,query,-1
1336773917176856578,0,,tr,0.0620789956,retain,0
1336773966388719619,1,,tr,0.627197918,query,-1
1336774027767992322,1,,tr,0.6517248419999999,retain,1
1336774064971640834,1,,tr,0.65128293,retain,1
1336774185008451591,0,,tr,0.53369641,query,-1
1336774226074746881,0,,tr,0.07586476500000001,retain,0
1336774354303115265,1,,tr,0.5899874839999999,query,-1
1336774429351751682,0,,tr,0.06207868860000001,query,-1
1336774531193729026,1,,tr,0.633506974,retain,1
1336773758967754754,0,,tr,0.062087884,retain,0
1336774666145316865,1,,tr,0.589839006,query,-1
1336774691483168773,1,,tr,0.6518081579999999,retain,1
1336774693647429632,1,,tr,0.563522564,query,-1
1336774719870173184,0,,tr,0.651088126,flip,-1
1336774808260980745,0,,tr,0.062078715400000005,query,-1
1336774849918889985,0,,tr,0.0620796184,retain,0
1336774909155020802,1,,tr,0.650853756,retain,1
1336779752393371650,0,,tr,0.062082288,retain,0
1336779774782550021,0,,tr,0.625556572,query,-1
1336779777764691968,0,,tr,0.10644818660000002,retain,0
1336779815437922305,0,,tr,0.6512835619999999,flip,-1
1336779917195948053,1,,tr,0.5559219019999999,query,-1
1336780088675868676,1,,tr,0.496189842,query,-1
1336780190509305856,1,,tr,0.651125676,retain,1
1336780194359676934,1,,tr,0.633225436,retain,1
1336780291587907584,0,,tr,0.06207878880000001,query,-1
1336780364707196931,0,,tr,0.0667039786,query,-1
1336780395271122955,0,,tr,0.0620787046,retain,0
1336780530927460361,1,,tr,0.6517988939999999,query,-1
1336780540440141824,1,,tr,0.651794524,retain,1
1336780620333199365,0,,tr,0.507681588,query,-1
1336780670480359424,0,,tr,0.06207868460000001,retain,0
1336780923182919683,1,,tr,0.636532056,retain,1
1336785883027165184,1,,tr,0.635340996,retain,1
1336786013914599424,1,,tr,0.0620788008,flip,-1
1336786152586698754,1,,tr,0.626167114,query,-1
1336786183364501508,0,,tr,0.128296096,query,-1
1336786242973917185,1,,tr,0.63729902,retain,1
1336786283297796096,0,,tr,0.6379509079999999,flip,-1
1336786414038626306,1,,tr,0.651559226,retain,1
1336786625422970880,1,,tr,0.6377372579999999,retain,1
1336786629525004288,1,,tr,0.63889439,retain,1
1336787001492856835,1,,tr,0.6353463159999999,retain,1
1336787114881499136,0,,tr,0.06207868860000001,retain,0
1336792101963653125,0,,tr,0.0628686084,retain,0
1336792152433635334,1,,tr,0.634625652,query,-1
1336792184276869128,1,,tr,0.622684364,query,-1
1336792202262040582,0,,tr,0.062147171599999995,retain,0
1336792314174431237,0,,tr,0.0621071368,retain,0
1336792414128844801,0,,tr,0.06231275000000001,retain,0
1336792659986411520,1,,tr,0.29307458799999997,query,-1
1336792680152621061,0,,tr,0.06208013940000001,retain,0
1336792966082551808,0,,tr,0.0646193958,retain,0
1336793094868623364,0,,tr,0.0620797116,retain,0
1336793219359760385,0,,tr,0.062084105,retain,0
1336793061347700736,1,,tr,0.651324456,retain,1
1336798606754521088,0,,tr,0.639005516,flip,-1
1336798761020887040,1,,tr,0.588394034,query,-1
1336798897369305088,1,,tr,0.6295691800000001,query,-1
1336798958002302978,1,,tr,0.6499376339999999,retain,1
1336799043150774278,0,,tr,0.062093654399999997,query,-1
1336799107571011584,1,,tr,0.6368055640000001,retain,1
1336799225573728261,1,,tr,0.630180714,query,-1
1336799247262494721,0,,tr,0.0781964074,query,-1
1336799344662511617,1,,tr,0.651488906,retain,1
1336799778974396419,1,,tr,0.55537846,query,-1
1336805170647166976,0,,tr,0.062279346400000005,retain,0
1336805261932191757,1,,tr,0.599918774,query,-1
1336805285516763136,1,,tr,0.6410767400000001,retain,1
1336805451413983245,1,,tr,0.6489531080000001,retain,1
1336805112858243073,0,,tr,0.062285747399999994,query,-1
1336805721489481729,1,,tr,0.629695196,query,-1
1336805802737160192,0,,tr,0.062078759799999994,query,-1
1336805956529905668,1,,tr,0.64538875,retain,1
1336806364673404936,1,,tr,0.641068162,retain,1
1336812912883720193,0,,tr,0.062079892000000005,retain,0
1336813480624541697,1,,tr,0.619880638,query,-1
1336813646199074817,1,,tr,0.645292404,retain,1
1336819182856527877,0,,tr,0.062086763200000006,retain,0
1336819184479703046,0,,tr,0.062078828600000004,retain,0
1336819414923059201,1,,tr,0.592369398,query,-1
1336819616560144384,1,,tr,0.571154032,query,-1
1336819698353188864,0,,tr,0.062125857799999996,query,-1
1336819950212665344,0,,tr,0.062303570600000004,query,-1
1336820317075992577,1,,tr,0.645487536,retain,1
1336820470990196743,1,,tr,0.6016886419999999,query,-1
1336826315652083712,0,,tr,0.062120913199999996,retain,0
1336826344504745991,1,,tr,0.6497139599999999,retain,1
1336820824536461312,1,,tr,0.577376454,query,-1
1336826494526648321,1,,tr,0.64849908,retain,1
1336826706418659331,0,,tr,0.062080104000000004,query,-1
1336827025496002561,0,,tr,0.5116890460000001,query,-1
1336827578229936137,1,,tr,0.637522128,retain,1
1336827673692098561,0,,tr,0.10609226279999999,query,-1
1336826804221390853,1,,tr,0.6473111059999999,retain,1
1336827641974943745,1,,tr,0.651608324,retain,1
1336828080975974406,1,,tr,0.6517946899999999,retain,1
1336834051567734786,1,,tr,0.48909806,query,-1
1336834123181281282,1,,tr,0.517587918,query,-1
1336834201384087552,0,,tr,0.062459640399999995,retain,0
1336834241313824768,1,,tr,0.59131775,query,-1
1336834268014600198,1,,tr,0.34486075,retain,1
1336834233394925576,0,,tr,0.0680845436,retain,0
1336827580587134979,1,,tr,0.6518053260000001,retain,1
1336834374461845504,0,,tr,0.073502484,retain,0
1336834478065524738,1,,tr,0.06208082620000001,flip,-1
1336834003203215366,1,,tr,0.627360994,query,-1
1336842090739888133,0,,tr,0.062079456,retain,0
1336841786090668032,0,,tr,0.6052995859999999,query,-1
1336842386845024257,1,,tr,0.27417933800000005,retain,1
1336842445615722498,0,,tr,0.0633943466,retain,0
1336842481741275137,1,,tr,0.6514467719999999,retain,1
1336842723609911297,0,,tr,0.062132434599999994,query,-1
1336843110291222528,1,,tr,0.606624392,query,-1
1336848846668886016,0,,tr,0.062080455199999995,query,-1
1336848936951287808,0,,tr,0.0621324926,retain,0
1336848962523783169,0,,tr,0.0621222308,retain,0
1336849238978940932,0,,tr,0.0620787086,retain,0
1336849367370784769,1,,tr,0.58348132,query,-1
1336850360300953603,1,,tr,0.597991256,query,-1
1336855910522757121,1,,tr,0.644014578,retain,1
1336856233492492288,1,,tr,0.42889367399999995,query,-1
1336856260252200960,1,,tr,0.41039565600000005,query,-1
1336856296524374016,1,,tr,0.6518057259999999,retain,1
1336856550762311681,1,,tr,0.651756678,retain,1
1336856818241433604,1,,tr,0.30697314000000003,retain,1
1336857666023378944,1,,tr,0.0621573032,flip,-1
1336863988009807874,1,,tr,0.645208966,retain,1
1336864467838251008,1,,tr,0.610964344,query,-1
1336849772058189827,1,,tr,0.280273106,retain,1
1336871197468811265,1,,tr,0.643235394,retain,1
1336871701464969217,0,,tr,0.6518078939999999,flip,-1
1336878768963596288,1,,tr,0.629200638,query,-1
1336878834348683267,0,,tr,0.64017241,flip,-1
1336878820520062977,0,,tr,0.0620837756,retain,0
1336879527650185216,1,,tr,0.64291781,retain,1
1336879708110143488,1,,tr,0.561281322,query,-1
1336880172562145280,1,,tr,0.651808794,retain,1
1336880183303938049,0,,tr,0.062088814199999995,retain,0
1336880260001001472,0,,tr,0.0621116782,retain,0
1336880594748399617,1,,tr,0.646568728,retain,1
1336880799153414144,1,,tr,0.6500601500000001,retain,1
1336881123075481600,1,,tr,0.6067217739999999,query,-1
1336887612863377409,0,,tr,0.571129718,query,-1
1336887805390237696,1,,tr,0.6244098119999999,query,-1
1336887736951660549,1,,tr,0.06226451959999999,flip,-1
1336888282366480391,1,,tr,0.6271597099999999,query,-1
1336888303640080384,1,,tr,0.484699084,query,-1
1336888515448037378,1,,tr,0.630894186,retain,1
1336889310436413441,1,,tr,0.520918736,query,-1
1336890115709407232,1,,tr,0.6500497940000001,retain,1
1336889636522639360,0,,tr,0.062087132600000004,retain,0
1336890349164220418,1,,tr,0.6514457339999999,retain,1
1336890552894115841,1,,tr,0.619178386,query,-1
1336890567742156801,1,,tr,0.559032416,query,-1
1336897960836141060,0,,tr,0.065233676,retain,0
1336898054532763648,1,,tr,0.6339700699999999,retain,1
1336898393579380739,1,,tr,0.6476181839999999,retain,1
1336900036903497732,0,,tr,0.066062927,retain,0
1336900846655770625,1,,tr,0.649557176,retain,1
1336910691496648704,1,,tr,0.63533468,retain,1
1336910805351055361,1,,tr,0.0632489134,flip,-1
1336911711144710144,0,,tr,0.062078678600000006,retain,0
1336911810784530432,1,,tr,0.54053167,query,-1
1336913859202912256,0,,tr,0.06432231299999999,query,-1
1336925478360248320,0,,tr,0.0621573362,retain,0
1336925727304732673,1,,tr,0.648138796,retain,1
1336880543451901952,0,,tr,0.06207868460000001,query,-1
1336926551682633728,0,,tr,0.0620787406,query,-1
1336926920076795911,1,,tr,0.4603097180000001,query,-1
1336930995728216066,0,,tr,0.0620787026,retain,0
1336941079153741824,0,,tr,0.06997548020000001,retain,0
1336880875108229120,1,,tr,0.629521284,query,-1
